solver,0 - 20,21 - 30,31 - 40,41 - 60,61 - 100,101 - 120,121 - 500,501 - 1000,1000 +,???,Sum
cnf2eadt,799,3,7,2,0,3,4,0,0,0,818
countAntom 12,1141,18,10,9,5,2,6,0,0,0,1191
sts,927,4,8,12,6,4,42,0,0,0,1003
c2d,1124,31,10,6,2,3,5,0,0,0,1181
sdd,1014,4,7,1,0,2,0,0,0,0,1028
sharpSAT,1029,16,10,6,3,4,23,0,0,0,1091
dpdb,1159,19,5,2,0,0,0,0,0,0,1185
d4,1163,20,10,6,3,4,21,0,0,0,1227
gpusat1,1020,16,0,0,0,0,0,0,0,0,1036
miniC2D,1193,29,10,3,2,2,3,0,0,0,1242
gpusat2,1196,32,1,0,0,0,0,0,0,0,1229
cachet,624,3,8,5,2,4,18,0,0,0,664
approxmc 3,794,3,7,2,0,1,5,0,0,0,812
dsharp,853,3,7,2,0,0,0,0,0,0,865
bdd_minisat_all,791,4,1,0,0,0,0,0,0,0,796
